Problem_Num|Problem_Name|Difficulty|SQL_SOLVED|Pandas_SOLVED|Date
1757|Recyclable and Low Fat Products|Easy|Y|Y|2023-12-04
176|Second Highest Salary|Medium|Y|Y|2023-12-04
181|Employees Earning More Than Their Managers|Easy|Y|Y|2023-12-04
175|Combine Two Tables|Easy|Y|Y|2023-12-06
595|Big Countries|Easy|Y|Y|2023-12-06
584|Find Customer Referee|Easy|Y|Y|2023-12-06
197|Rising Temperature|Easy|Y|Y|2024-01-14
182|Duplicate Emails|Easy|Y|Y|2024-01-16
196|Delete Duplicate Emails|Easy|Y|Y|2024-01-16
1148|Article Views 1|Easy|Y|Y|2024-01-16
